P10, gender, 0, face, Sad_Face_Mat, 3, 2, 1
P10, gender, 0, face, Happy_Face_Mat, 2, 2, 3
P10, gender, 0, face, Surprised_Face_Mat, 5, 2, 3
P10, gender, 0, face, Angry_Face_Mat, 4, 3, 2
P10, gender, 0, face, Scared_Face_Mat, 3, 1, 3
P10, gender, 0, text, Sad, 1, 2, 1
P10, gender, 0, text, Happy, 1, 2, 1
P10, gender, 0, text, Angry, 1, 2, 1
P10, gender, 0, text, Scared, 1, 2, 1
P10, gender, 0, text, Surprised, 1, 2, 1
P10, gender, 0, light, Scared, 2, 1, 2
P10, gender, 0, light, Angry, 4, 1, 3
P10, gender, 0, light, Happy, 2, 1, 2
P10, gender, 0, light, Surprised, 6, 1, 2
P10, gender, 0, light, Sad, 3, 3, 2
P10, gender, 0, tts, Surprised, 5, 5, 1
P10, gender, 0, tts, Sad, 3, 4, 1
P10, gender, 0, tts, Angry, 4, 5, 1
P10, gender, 0, tts, Scared, 5, 5, 1
P10, gender, 0, tts, Happy, 2, 4, 1
P10, gender, 0, sound, Surprised, 4, 3, 3
P10, gender, 0, sound, Angry, 1, 1, 2
P10, gender, 0, sound, Happy, 2, 3, 4
P10, gender, 0, sound, Scared, 2, 1, 2
P10, gender, 0, sound, Sad, 3, 4, 3
P10, gender, 0, emoji, Angry, 4, 5, 4
P10, gender, 0, emoji, Sad, 3, 5, 4
P10, gender, 0, emoji, Happy, 2, 5, 4
P10, gender, 0, emoji, Surprised, 6, 4, 4
P10, gender, 0, emoji, Scared, 5, 4, 3
P10, gender, 0, tail, sad, 1, 3, 2
P10, gender, 0, tail, scared, 2, 3, 2
P10, gender, 0, tail, surprised, 2, 4, 3
P10, gender, 0, tail, happy, 2, 3, 3
P10, gender, 0, tail, angry, 5, 1, 2
